,brexit_constituency,area_code,region,region_code,eu_contribution_gbp,project_eu_contribution_gbp,project_total_cost_gbp,spending_per_voter,electorate,votes_cast,valid_votes,pct_turnout,remain,leave,pct_remain,pct_leave,rejected_ballots,pct_rejected,spending_percentile
125,Falkirk,S12000014,Scotland,S92000003,3057967.0,5918405.0,11273473.0,50.41574383262914,117392,79302,79258,67.55,44987,34271,56.76,43.24,44,0.06,6.78391959798995
126,Fareham,E07000087,South East,E12000008,900610.0,27891303.0,36855299.0,309.30194621569166,90175,71772,71735,79.59,32210,39525,44.9,55.1,37,0.05,40.45226130653266
127,Fenland,E07000010,East,E12000006,2435699.0,6276407.0,8638022.0,87.84703346536594,71447,52649,52626,73.69,15055,37571,28.61,71.39,23,0.04,13.06532663316583
128,Fermanagh and South Tyrone,N06000007,Northern Ireland,N92000002,3975909.0,19358710.0,18575467.0,272.4621750573532,71051,48187,48158,67.82,28200,19958,58.56,41.44,29,0.06,35.92964824120603
129,Fife,S12000015,Scotland,S92000003,81808999.26,495874784.6,614326894.1899999,1816.4244202274767,272995,182307,182220,66.78,106754,75466,58.59,41.41,87,0.05,80.40201005025126
130,Flintshire,W06000005,Wales,W92000004,4601841.0,29139017.0,31949925.0,251.27640474630056,115964,86854,86797,74.9,37867,48930,43.63,56.37,57,0.07,33.66834170854271
131,Forest Heath,E07000201,East,E12000006,1377957.0,34031122.0,39401159.0,883.3057855529887,38527,27977,27951,72.62,9791,18160,35.03,64.97,26,0.09,67.33668341708542
132,Forest of Dean,E07000080,South West,E12000009,1545909.0,11059569.0,8828391.0,165.79820103440522,66705,51677,51643,77.47,21392,30251,41.42,58.58,34,0.07,24.623115577889447
133,Foyle,N06000008,Northern Ireland,N92000002,11461443.8,152625624.8,55018355.96,2129.352857960015,71677,40987,40969,57.18,32064,8905,78.26,21.74,18,0.04,81.90954773869346
134,Fylde,E07000119,North West,E12000002,83492.0,3222328.0,2853421.0,52.67479648216561,61174,46227,46206,75.57,19889,26317,43.04,56.96,21,0.05,7.28643216080402
135,Gateshead,E08000037,North East,E12000001,14784124.0,47898103.0,77597484.0,328.3705798472571,145866,103007,102958,70.62,44429,58529,43.15,56.85,49,0.05,42.21105527638191
136,Gedling,E07000173,East Midlands,E12000004,135656.0,12632743.0,612972.0,143.0694126707287,88298,67635,67577,76.6,30035,37542,44.45,55.55,58,0.09,21.85929648241206
137,Glasgow City,S12000046,Scotland,S92000003,395842167.97000015,2545275176.07,3560906023.8599977,5658.6065460887585,449806,253000,252809,56.25,168335,84474,66.59,33.41,191,0.08,92.71356783919597
138,Gloucester,E07000081,South West,E12000009,830224.0,30995889.0,42947683.0,345.70090674875365,89661,64606,64577,72.06,26801,37776,41.5,58.5,29,0.04,44.472361809045225
139,Gosport,E07000088,South East,E12000008,1966160.0,12165998.0,14460795.0,193.78471193513963,62781,46150,46127,73.51,16671,29456,36.14,63.86,23,0.05,27.1356783919598
140,Gravesham,E07000109,South East,E12000008,880234.0,10399235.0,10826482.0,142.83093890781234,72808,54553,54519,74.93,18876,35643,34.62,65.38,34,0.06,21.608040201005025
141,Great Yarmouth,E07000145,East,E12000006,4010254.0,12577383.0,18476842.0,173.1610953547925,72634,50158,50128,69.06,14284,35844,28.5,71.5,30,0.06,24.87437185929648
142,Greenwich,E09000011,London,E12000007,13765631.0,184145292.64,203960401.72000003,1089.829923239449,168967,117470,117365,69.52,65248,52117,55.59,44.41,105,0.09,71.10552763819095
143,Guildford,E07000209,South East,E12000008,111277364.0,1256609121.0,1699162690.0,12294.50558170024,102209,78657,78613,76.96,44155,34458,56.17,43.83,44,0.06,97.48743718592965
144,Gwynedd,W06000002,Wales,W92000004,99057884.0,323849921.0,418876979.0,3829.14479456104,84575,61245,61182,72.42,35517,25665,58.05,41.95,63,0.1,88.69346733668341
145,Hackney,E09000012,London,E12000007,35109236.0,264888568.0,301600390.0,1622.256730604346,163284,106422,106266,65.18,83398,22868,78.48,21.52,156,0.15,78.39195979899498
146,Halton,E06000006,North West,E12000002,141577714.0,206925899.0,350393733.0,2171.561240017211,95289,65047,65005,68.26,27678,37327,42.58,57.42,42,0.06,82.41206030150754
147,Hambleton,E07000164,Yorkshire and The Humber,E12000003,3093017.0,27935913.0,34296808.0,398.3276488956697,70133,55016,54982,78.45,25480,29502,46.34,53.66,34,0.06,47.98994974874372
148,Hammersmith and Fulham,E09000013,London,E12000007,18171577.0,256083204.0,291188382.0,2229.4664426316567,114863,80347,80242,69.95,56188,24054,70.02,29.98,105,0.13,83.16582914572864
149,Harborough,E07000131,East Midlands,E12000004,3831988.0,42018269.0,55066587.0,623.2315188371404,67420,54910,54878,81.44,27028,27850,49.25,50.75,32,0.06,58.79396984924623
150,Haringey,E09000014,London,E12000007,1941826.0,36775158.0,35761870.0,245.00764833642017,150098,106032,105846,70.64,79991,25855,75.57,24.43,186,0.18,33.41708542713568
151,Harlow,E07000073,East,E12000006,877458.0,19352513.0,21914046.0,327.3207665245924,59124,43489,43469,73.56,13867,29602,31.9,68.1,20,0.05,41.959798994974875
152,Harrogate,E07000165,Yorkshire and The Humber,E12000003,5927109.0,40694536.0,36252421.0,339.1578754365056,119987,94653,94585,78.89,48211,46374,50.97,49.03,68,0.07,43.21608040201005
153,Harrow,E09000015,London,E12000007,1850875.0,123920482.0,186582423.0,763.0712513162189,162397,117352,117225,72.26,64042,53183,54.63,45.37,127,0.11,64.07035175879398
154,Hart,E07000089,South East,E12000008,6501934.0,59178922.0,128121736.0,846.065850799188,69946,57827,57795,82.67,30282,27513,52.4,47.6,32,0.06,66.08040201005025
155,Hartlepool,E06000001,North East,E12000001,14469762.0,14798752.0,19293016.0,210.3858631523578,70341,46134,46100,65.59,14029,32071,30.43,69.57,34,0.07,29.396984924623116
156,Hastings,E07000062,South East,E12000008,5153331.0,25391727.0,28092073.0,409.8282195716384,61957,44387,44350,71.64,20011,24339,45.12,54.88,37,0.08,48.49246231155779
157,Havant,E07000090,South East,E12000008,9251109.0,91427174.0,124921379.0,958.6977958601598,95366,70670,70629,74.1,26582,44047,37.64,62.36,41,0.06,68.84422110552764
158,Havering,E09000016,London,E12000007,3534128.0,110511899.0,234520465.0,603.6196840759878,183082,139175,139086,76.02,42201,96885,30.34,69.66,89,0.06,57.537688442211056
159,"Herefordshire, County of",E06000019,West Midlands,E12000005,10083518.0,46604389.0,63967638.0,337.1095864648058,138247,108336,108270,78.36,44148,64122,40.78,59.22,66,0.06,42.71356783919598
160,Hertsmere,E07000098,East,E12000006,4532563.0,87741779.0,123563609.0,1197.1045637492325,73295,56159,56125,76.62,27593,28532,49.16,50.84,34,0.06,72.36180904522612
161,High Peak,E07000037,East Midlands,E12000004,21779469.0,54416013.0,73100842.0,750.7003048822548,72487,54864,54833,75.69,27116,27717,49.45,50.55,31,0.06,63.06532663316583
162,Highland,S12000017,Scotland,S92000003,82994946.52,154639441.10000002,249720399.98,880.8202246487018,175563,125728,125657,71.61,70308,55349,55.95,44.05,71,0.06,67.08542713567839
163,Hillingdon,E09000017,London,E12000007,69169837.0,880648114.0,1319392645.0,4562.163536804588,193033,133170,133022,68.99,58040,74982,43.63,56.37,148,0.11,90.7035175879397
164,Hinckley and Bosworth,E07000132,East Midlands,E12000004,3298345.0,36026515.0,50202363.0,422.3259480686947,85305,65516,65470,76.8,25969,39501,39.67,60.33,46,0.07,48.994974874371856
165,Horsham,E07000227,South East,E12000008,5482335.5,77027091.5,111205403.0,738.7272609571304,104270,85132,85088,81.65,43785,41303,51.46,48.54,44,0.05,62.562814070351756
166,Hounslow,E09000018,London,E12000007,5073429.0,777579596.0,1303643034.0,4711.175983035444,165050,115208,115076,69.8,58755,56321,51.06,48.94,132,0.11,91.4572864321608
167,Huntingdonshire,E07000011,East,E12000006,7846732.0,252293659.98,301208284.96,1963.588717681304,128486,99990,99927,77.82,45729,54198,45.76,54.24,63,0.06,81.4070351758794
168,Hyndburn,E07000120,North West,E12000002,1154200.0,1816085.0,1990000.0,29.271864221011572,62042,40168,40137,64.74,13569,26568,33.81,66.19,31,0.08,3.2663316582914574
169,Inverclyde,S12000018,Scotland,S92000003,1890626.0,14981565.0,23129840.0,255.55344227620085,58624,38722,38698,66.05,24688,14010,63.8,36.2,24,0.06,34.17085427135678
170,Ipswich,E07000202,East,E12000006,6022487.0,8988966.0,14455775.0,98.16067879529123,91574,66400,66353,72.51,27698,38655,41.74,58.26,47,0.07,15.075376884422111
171,Isle of Anglesey,W06000001,Wales,W92000004,29410655.2,83820867.2,114373623.4,1629.3297152298571,51445,37978,37951,73.82,18618,19333,49.06,50.94,27,0.07,78.64321608040201
172,Isle of Wight,E06000046,South East,E12000008,8437266.0,135224259.0,196218759.0,1231.0573085466665,109844,79430,79380,72.31,30207,49173,38.05,61.95,50,0.06,72.61306532663316
173,Isles of Scilly,E06000053,South West,E12000009,2147729.0,9802971.0,12650140.0,5449.122290161201,1799,1424,1424,79.16,803,621,56.39,43.61,0,0.0,92.21105527638191
174,Islington,E09000019,London,E12000007,89687095.0,970608955.0,1208943609.0,6716.366269011999,144514,101723,101600,70.39,76420,25180,75.22,24.78,123,0.12,93.96984924623115
175,Kensington and Chelsea,E09000020,London,E12000007,38146616.0,452134685.0,600042944.0,5444.650718913321,83042,54801,54739,65.99,37601,17138,68.69,31.31,62,0.11,91.95979899497488
176,Kettering,E07000153,East Midlands,E12000004,489555.0,11472098.0,15450565.0,162.5633838741675,70570,53940,53907,76.43,21030,32877,39.01,60.99,33,0.06,24.12060301507538
177,King's Lynn and West Norfolk,E07000146,East,E12000006,17719221.0,32265166.0,45699453.0,283.31605844543566,113884,85128,85080,74.75,28587,56493,33.6,66.4,48,0.06,37.93969849246231
178,"Kingston upon Hull, City of",E06000010,Yorkshire and The Humber,E12000003,51720472.0,310194607.0,405069120.0,1721.1041835432502,180230,113436,113355,62.94,36709,76646,32.38,67.62,81,0.07,79.39698492462311
179,Kingston upon Thames,E09000021,London,E12000007,11351185.0,135297879.0,180775569.0,1243.1125066612765,108838,85330,85270,78.4,52533,32737,61.61,38.39,60,0.07,72.8643216080402
